,open,open,open,open,close,close,close,close,high,high,high,high,low,low,low,low,volume,volume,volume,volume,money,money,money,money
,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close
2019-07-09 13:45:00,13.53,13.54,13.51,13.51,13.51,13.54,13.51,13.53,13.53,13.55,13.52,13.53,13.51,13.51,13.5,13.51,174500.0,1228200.0,111500.0,111500.0,2357923.0,16628634.0,1507201.0,1507201.0
2019-07-09 13:50:00,13.51,13.54,13.5,13.52,13.53,13.53,13.51,13.53,13.53,13.54,13.53,13.54,13.5,13.5,13.5,13.5,126700.0,183200.0,71200.0,138200.0,1712614.0,2474922.0,962606.0,1868563.0
2019-07-09 13:55:00,13.51,13.52,13.5,13.51,13.49,13.52,13.49,13.52,13.53,13.53,13.51,13.52,13.49,13.5,13.48,13.5,215300.0,285300.0,41900.0,41900.0,2907389.0,3849870.0,566049.0,566049.0
2019-07-09 14:00:00,13.52,13.54,13.52,13.54,13.53,13.55,13.53,13.54,13.53,13.55,13.53,13.55,13.5,13.54,13.5,13.54,95700.0,127200.0,59100.0,59100.0,1293534.0,1721925.0,801003.0,801003.0
2019-07-09 14:05:00,13.55,13.57,13.55,13.55,13.56,13.57,13.55,13.57,13.56,13.58,13.56,13.58,13.54,13.56,13.54,13.55,85000.0,544100.0,85000.0,147700.0,1152191.0,7382519.0,1152191.0,2003490.0
2019-07-09 14:10:00,13.57,13.59,13.54,13.57,13.54,13.59,13.54,13.57,13.57,13.59,13.56,13.59,13.54,13.57,13.54,13.57,317100.0,921600.0,189100.0,189100.0,4297158.0,12487486.0,2567950.0,2567950.0
2019-07-09 14:15:00,13.57,13.6,13.57,13.58,13.57,13.6,13.57,13.58,13.58,13.6,13.58,13.6,13.56,13.58,13.56,13.58,79400.0,691900.0,79400.0,261700.0,1077426.0,9407553.0,1077426.0,3556728.0
2019-07-09 14:20:00,13.58,13.61,13.58,13.61,13.59,13.62,13.58,13.62,13.6,13.62,13.6,13.62,13.58,13.6,13.58,13.6,186900.0,186900.0,118600.0,144600.0,2540455.0,2540455.0,1611574.0,1967166.0
2019-07-09 14:25:00,13.63,13.63,13.59,13.6,13.63,13.63,13.58,13.58,13.63,13.63,13.59,13.6,13.61,13.61,13.57,13.58,814300.0,814300.0,127100.0,151500.0,11096097.0,11096097.0,1726020.0,2058750.0
2019-07-09 14:30:00,13.59,13.6,13.58,13.58,13.6,13.6,13.58,13.59,13.6,13.6,13.59,13.59,13.58,13.58,13.58,13.58,80600.0,507200.0,80600.0,92000.0,1095462.0,6895407.0,1095462.0,1249664.0
2019-07-09 14:35:00,13.58,13.59,13.58,13.58,13.58,13.59,13.57,13.57,13.59,13.6,13.59,13.59,13.58,13.58,13.57,13.57,117200.0,177800.0,67700.0,177800.0,1592258.0,2414611.0,919268.0,2414611.0
2019-07-09 14:40:00,13.57,13.57,13.57,13.57,13.57,13.57,13.56,13.56,13.58,13.58,13.58,13.58,13.57,13.57,13.56,13.56,99800.0,109200.0,64700.0,75700.0,1354903.0,1482393.0,878053.0,1026956.0
2019-07-09 14:45:00,13.56,13.58,13.56,13.58,13.56,13.58,13.55,13.55,13.57,13.58,13.56,13.58,13.56,13.56,13.55,13.55,83300.0,320100.0,83300.0,320100.0,1129664.0,4338364.0,1129664.0,4338364.0
2019-07-09 14:50:00,13.54,13.57,13.54,13.55,13.54,13.56,13.54,13.55,13.55,13.58,13.55,13.56,13.54,13.55,13.54,13.55,202800.0,202800.0,73100.0,73100.0,2746928.0,2746928.0,991180.0,991180.0
2019-07-09 14:55:00,13.56,13.57,13.56,13.56,13.57,13.58,13.56,13.57,13.58,13.59,13.58,13.58,13.56,13.56,13.55,13.55,229800.0,422900.0,83700.0,198400.0,3117588.0,5741235.0,1135359.0,2690498.0
2019-07-09 15:00:00,13.56,13.59,13.56,13.59,13.56,13.59,13.56,13.59,13.57,13.59,13.56,13.59,13.56,13.59,13.55,13.59,158100.0,1986400.0,0.0,1986400.0,2143902.0,26995176.0,0.0,26995176.0
