,open,close,high,low,volume,money
2019-07-09 13:11:00,13.55,13.54,13.55,13.54,133400.0,1806955.0
2019-07-09 13:12:00,13.54,13.55,13.55,13.54,89000.0,1205804.0
2019-07-09 13:13:00,13.55,13.54,13.56,13.54,53800.0,729065.0
2019-07-09 13:14:00,13.55,13.54,13.55,13.54,55900.0,756890.0
2019-07-09 13:15:00,13.54,13.56,13.56,13.54,90400.0,1224804.0
2019-07-09 13:16:00,13.55,13.55,13.56,13.55,99600.0,1350046.0
2019-07-09 13:17:00,13.56,13.55,13.56,13.54,97800.0,1324907.0
2019-07-09 13:18:00,13.55,13.55,13.56,13.54,159400.0,2158931.0
2019-07-09 13:19:00,13.54,13.54,13.54,13.52,99700.0,1349164.0
2019-07-09 13:20:00,13.53,13.51,13.53,13.5,216000.0,2920342.0
2019-07-09 13:21:00,13.51,13.5,13.52,13.5,156300.0,2111512.0
2019-07-09 13:22:00,13.52,13.53,13.53,13.52,146200.0,1976751.0
2019-07-09 13:23:00,13.53,13.52,13.54,13.51,355100.0,4801472.0
2019-07-09 13:24:00,13.51,13.52,13.53,13.5,108700.0,1468379.0
2019-07-09 13:25:00,13.51,13.52,13.52,13.51,49800.0,673469.0
2019-07-09 13:26:00,13.52,13.53,13.53,13.52,71900.0,971776.0
2019-07-09 13:27:00,13.53,13.53,13.54,13.52,65600.0,887483.0
2019-07-09 13:28:00,13.52,13.53,13.53,13.52,128800.0,1741545.0
2019-07-09 13:29:00,13.52,13.51,13.52,13.51,73000.0,986017.0
2019-07-09 13:30:00,13.51,13.51,13.52,13.5,93800.0,1267471.0
2019-07-09 13:31:00,13.51,13.51,13.52,13.5,90900.0,1227868.0
2019-07-09 13:32:00,13.51,13.52,13.52,13.5,65200.0,880875.0
2019-07-09 13:33:00,13.51,13.52,13.53,13.51,111500.0,1506855.0
2019-07-09 13:34:00,13.53,13.54,13.54,13.52,105300.0,1424589.0
2019-07-09 13:35:00,13.54,13.53,13.54,13.52,78300.0,1059186.0
2019-07-09 13:36:00,13.51,13.51,13.55,13.51,124700.0,1685803.0
2019-07-09 13:37:00,13.53,13.54,13.54,13.52,62500.0,845504.0
2019-07-09 13:38:00,13.55,13.52,13.55,13.52,162100.0,2192989.0
2019-07-09 13:39:00,13.55,13.53,13.55,13.51,59100.0,798915.0
2019-07-09 13:40:00,13.53,13.51,13.53,13.51,69100.0,934070.0
2019-07-09 13:41:00,13.53,13.51,13.53,13.51,174500.0,2357923.0
2019-07-09 13:42:00,13.51,13.51,13.52,13.5,169600.0,2289922.0
2019-07-09 13:43:00,13.51,13.54,13.55,13.51,1228200.0,16628634.0
2019-07-09 13:44:00,13.54,13.53,13.54,13.51,171800.0,2324026.0
2019-07-09 13:45:00,13.51,13.53,13.53,13.51,111500.0,1507201.0
2019-07-09 13:46:00,13.51,13.53,13.53,13.5,126700.0,1712614.0
2019-07-09 13:47:00,13.54,13.51,13.54,13.5,183200.0,2474922.0
2019-07-09 13:48:00,13.52,13.53,13.53,13.5,98400.0,1329867.0
2019-07-09 13:49:00,13.5,13.52,13.54,13.5,71200.0,962606.0
2019-07-09 13:50:00,13.52,13.53,13.54,13.5,138200.0,1868563.0
2019-07-09 13:51:00,13.51,13.49,13.53,13.49,215300.0,2907389.0
2019-07-09 13:52:00,13.5,13.51,13.51,13.48,285300.0,3849870.0
2019-07-09 13:53:00,13.52,13.51,13.53,13.49,140500.0,1897048.0
2019-07-09 13:54:00,13.51,13.5,13.51,13.5,68800.0,929153.0
2019-07-09 13:55:00,13.51,13.52,13.52,13.5,41900.0,566049.0
2019-07-09 13:56:00,13.52,13.53,13.53,13.5,95700.0,1293534.0
2019-07-09 13:57:00,13.53,13.54,13.54,13.53,77600.0,1050426.0
2019-07-09 13:58:00,13.54,13.53,13.55,13.53,76200.0,1031437.0
2019-07-09 13:59:00,13.53,13.55,13.55,13.52,127200.0,1721925.0
2019-07-09 14:00:00,13.54,13.54,13.55,13.54,59100.0,801003.0
2019-07-09 14:01:00,13.55,13.56,13.56,13.54,85000.0,1152191.0
2019-07-09 14:02:00,13.56,13.57,13.58,13.56,544100.0,7382519.0
2019-07-09 14:03:00,13.57,13.57,13.58,13.56,157400.0,2135038.0
2019-07-09 14:04:00,13.55,13.55,13.58,13.55,188700.0,2560860.0
2019-07-09 14:05:00,13.55,13.57,13.58,13.55,147700.0,2003490.0
2019-07-09 14:06:00,13.57,13.54,13.57,13.54,317100.0,4297158.0
2019-07-09 14:07:00,13.54,13.55,13.56,13.54,921600.0,12487486.0
2019-07-09 14:08:00,13.57,13.59,13.59,13.56,361500.0,4907316.0
2019-07-09 14:09:00,13.59,13.58,13.59,13.57,203100.0,2758693.0
2019-07-09 14:10:00,13.57,13.57,13.59,13.57,189100.0,2567950.0
2019-07-09 14:11:00,13.57,13.57,13.58,13.56,79400.0,1077426.0
2019-07-09 14:12:00,13.57,13.6,13.6,13.57,260000.0,3532302.0
2019-07-09 14:13:00,13.6,13.6,13.6,13.58,691900.0,9407553.0
2019-07-09 14:14:00,13.59,13.57,13.59,13.57,165000.0,2241200.0
2019-07-09 14:15:00,13.58,13.58,13.6,13.58,261700.0,3556728.0
2019-07-09 14:16:00,13.58,13.59,13.6,13.58,186900.0,2540455.0
2019-07-09 14:17:00,13.59,13.58,13.6,13.58,118600.0,1611574.0
2019-07-09 14:18:00,13.59,13.6,13.6,13.58,135900.0,1846941.0
2019-07-09 14:19:00,13.59,13.61,13.61,13.59,153000.0,2080448.0
2019-07-09 14:20:00,13.61,13.62,13.62,13.6,144600.0,1967166.0
2019-07-09 14:21:00,13.63,13.63,13.63,13.61,814300.0,11096097.0
2019-07-09 14:22:00,13.63,13.61,13.63,13.61,351900.0,4793774.0
2019-07-09 14:23:00,13.61,13.59,13.63,13.58,151900.0,2066223.0
2019-07-09 14:24:00,13.59,13.59,13.59,13.57,127100.0,1726020.0
2019-07-09 14:25:00,13.6,13.58,13.6,13.58,151500.0,2058750.0
2019-07-09 14:26:00,13.59,13.6,13.6,13.58,80600.0,1095462.0
2019-07-09 14:27:00,13.6,13.59,13.6,13.58,227300.0,3089419.0
2019-07-09 14:28:00,13.6,13.58,13.6,13.58,412300.0,5605393.0
2019-07-09 14:29:00,13.58,13.6,13.6,13.58,507200.0,6895407.0
2019-07-09 14:30:00,13.58,13.59,13.59,13.58,92000.0,1249664.0
2019-07-09 14:31:00,13.58,13.58,13.59,13.58,117200.0,1592258.0
2019-07-09 14:32:00,13.59,13.59,13.59,13.58,113800.0,1545852.0
2019-07-09 14:33:00,13.58,13.59,13.6,13.58,100400.0,1364174.0
2019-07-09 14:34:00,13.58,13.57,13.59,13.57,67700.0,919268.0
2019-07-09 14:35:00,13.58,13.57,13.59,13.57,177800.0,2414611.0
2019-07-09 14:36:00,13.57,13.57,13.58,13.57,99800.0,1354903.0
2019-07-09 14:37:00,13.57,13.57,13.58,13.57,94300.0,1280156.0
2019-07-09 14:38:00,13.57,13.57,13.58,13.57,109200.0,1482393.0
2019-07-09 14:39:00,13.57,13.57,13.58,13.57,64700.0,878053.0
2019-07-09 14:40:00,13.57,13.56,13.58,13.56,75700.0,1026956.0
2019-07-09 14:41:00,13.56,13.56,13.57,13.56,83300.0,1129664.0
2019-07-09 14:42:00,13.56,13.57,13.57,13.56,89300.0,1211393.0
2019-07-09 14:43:00,13.56,13.56,13.56,13.55,221100.0,2998109.0
2019-07-09 14:44:00,13.56,13.58,13.58,13.55,176600.0,2394734.0
2019-07-09 14:45:00,13.58,13.55,13.58,13.55,320100.0,4338364.0
2019-07-09 14:46:00,13.54,13.54,13.55,13.54,202800.0,2746928.0
2019-07-09 14:47:00,13.55,13.55,13.56,13.54,154000.0,2086493.0
2019-07-09 14:48:00,13.55,13.56,13.57,13.55,96500.0,1308327.0
2019-07-09 14:49:00,13.57,13.56,13.58,13.55,175400.0,2378805.0
2019-07-09 14:50:00,13.55,13.55,13.56,13.55,73100.0,991180.0
2019-07-09 14:51:00,13.56,13.57,13.58,13.56,229800.0,3117588.0
2019-07-09 14:52:00,13.56,13.58,13.58,13.56,208000.0,2822832.0
2019-07-09 14:53:00,13.57,13.58,13.58,13.55,83700.0,1135359.0
2019-07-09 14:54:00,13.57,13.56,13.59,13.56,422900.0,5741235.0
2019-07-09 14:55:00,13.56,13.57,13.58,13.55,198400.0,2690498.0
2019-07-09 14:56:00,13.56,13.56,13.57,13.56,158100.0,2143902.0
2019-07-09 14:57:00,13.56,13.56,13.57,13.55,112600.0,1527141.0
2019-07-09 14:58:00,13.56,13.56,13.56,13.56,5000.0,67842.0
2019-07-09 14:59:00,13.56,13.56,13.56,13.56,0.0,0.0
2019-07-09 15:00:00,13.59,13.59,13.59,13.59,1986400.0,26995176.0
